Generation,Treatment,Species,Patch,Mean
3,D,Cast,3,95.2857142857143
3,D,Cast,4,68
3,D,Cast,5,37.5714285714286
3,D,Cast,6,31.0714285714286
3,D,Cast,7,4.92857142857143
3,D,Cast,8,0.0714285714285714
3,D,Cast,9,0.0714285714285714
3,D,Cast,10,0.142857142857143
3,D,Cast,11,0.0714285714285714
3,D,Cast,12,0
3,D,Cast,13,0
3,D,Cast,14,0
3,D,Cast,15,0
3,D,Cast,16,0
4,D,Cast,1,162.357142857143
4,D,Cast,2,134.214285714286
4,D,Cast,3,148.714285714286
4,D,Cast,4,117.571428571429
4,D,Cast,5,89.4285714285714
4,D,Cast,6,57.2142857142857
4,D,Cast,7,28.2142857142857
4,D,Cast,8,3.78571428571429
4,D,Cast,9,1.07142857142857
4,D,Cast,10,0.857142857142857
4,D,Cast,11,0.0714285714285714
4,D,Cast,12,0
4,D,Cast,13,0
4,D,Cast,14,0
4,D,Cast,15,0
4,D,Cast,16,0
5,D,Cast,1,214
5,D,Cast,2,175.5
5,D,Cast,3,168.785714285714
5,D,Cast,4,176
5,D,Cast,5,125.071428571429
5,D,Cast,6,84.8571428571429
5,D,Cast,7,54.9285714285714
5,D,Cast,8,8.78571428571429
5,D,Cast,9,7.21428571428571
5,D,Cast,10,0.785714285714286
5,D,Cast,11,0.714285714285714
5,D,Cast,12,1.71428571428571
5,D,Cast,13,0
5,D,Cast,14,0.142857142857143
5,D,Cast,15,0
5,D,Cast,16,0
6,D,Cast,1,246.571428571429
6,D,Cast,2,260.5
6,D,Cast,3,225
6,D,Cast,4,201
6,D,Cast,5,137.285714285714
6,D,Cast,6,91.2142857142857
6,D,Cast,7,60
6,D,Cast,8,18.5714285714286
6,D,Cast,9,9.14285714285714
6,D,Cast,10,3.64285714285714
6,D,Cast,11,3.57142857142857
6,D,Cast,12,2.78571428571429
6,D,Cast,13,1.85714285714286
6,D,Cast,14,0.5
6,D,Cast,15,0.142857142857143
6,D,Cast,16,0.142857142857143
7,D,Cast,1,287.428571428571
7,D,Cast,2,233
7,D,Cast,3,216.642857142857
7,D,Cast,4,226.714285714286
7,D,Cast,5,141.857142857143
7,D,Cast,6,102.428571428571
7,D,Cast,7,57.0714285714286
7,D,Cast,8,20.2142857142857
7,D,Cast,9,28.1428571428571
7,D,Cast,10,6.78571428571429
7,D,Cast,11,5.42857142857143
7,D,Cast,12,3.71428571428571
7,D,Cast,13,3.07142857142857
7,D,Cast,14,0.785714285714286
7,D,Cast,15,0.142857142857143
7,D,Cast,16,0.642857142857143
8,D,Cast,1,256
8,D,Cast,2,252.214285714286
8,D,Cast,3,218.928571428571
8,D,Cast,4,186.285714285714
8,D,Cast,5,123.714285714286
8,D,Cast,6,69.9285714285714
8,D,Cast,7,70.5714285714286
8,D,Cast,8,36.4285714285714
8,D,Cast,9,21.5714285714286
8,D,Cast,10,17
8,D,Cast,11,11.0714285714286
8,D,Cast,12,12.4285714285714
8,D,Cast,13,5.92857142857143
8,D,Cast,14,2.92857142857143
8,D,Cast,15,2.78571428571429
8,D,Cast,16,1.71428571428571
0,D,Conf,1,0
0,D,Conf,2,0
0,D,Conf,3,0
0,D,Conf,4,0
0,D,Conf,5,0
0,D,Conf,6,0
0,D,Conf,7,0
0,D,Conf,8,0
0,D,Conf,9,50
0,D,Conf,10,50
0,D,Conf,11,50
0,D,Conf,12,50
0,D,Conf,13,50
0,D,Conf,14,50
0,D,Conf,15,50
0,D,Conf,16,50
1,D,Conf,1,0
1,D,Conf,2,0
1,D,Conf,3,0
1,D,Conf,4,0
1,D,Conf,5,0
1,D,Conf,6,0
1,D,Conf,7,0.0714285714285714
1,D,Conf,8,8.57142857142857
1,D,Conf,9,126.5
1,D,Conf,10,116.214285714286
1,D,Conf,11,122.142857142857
1,D,Conf,12,116.642857142857
1,D,Conf,13,122.5
1,D,Conf,14,136.071428571429
1,D,Conf,15,112.785714285714
1,D,Conf,16,126.714285714286
2,D,Conf,1,0
2,D,Conf,2,0
2,D,Conf,3,0
2,D,Conf,4,0
2,D,Conf,5,0
2,D,Conf,6,0.769230769230769
2,D,Conf,7,7.38461538461539
2,D,Conf,8,78.9230769230769
2,D,Conf,9,251.615384615385
2,D,Conf,10,272.076923076923
2,D,Conf,11,271.538461538462
2,D,Conf,12,267.307692307692
2,D,Conf,13,288.692307692308
2,D,Conf,14,265
2,D,Conf,15,247.769230769231
2,D,Conf,16,232.538461538462
3,D,Conf,1,0.0714285714285714
3,D,Conf,2,0
3,D,Conf,3,0.142857142857143
3,D,Conf,4,0.357142857142857
3,D,Conf,5,1.92857142857143
3,D,Conf,6,12.9285714285714
3,D,Conf,7,53.5714285714286
3,D,Conf,8,204.142857142857
3,D,Conf,9,289.5
3,D,Conf,10,284.571428571429
3,D,Conf,11,294.5
3,D,Conf,12,333.142857142857
3,D,Conf,13,324.571428571429
3,D,Conf,14,321.071428571429
3,D,Conf,15,285
3,D,Conf,16,266.571428571429
4,D,Conf,1,0
4,D,Conf,2,0.285714285714286
4,D,Conf,3,1.21428571428571
4,D,Conf,4,2.92857142857143
4,D,Conf,5,18.5714285714286
4,D,Conf,6,58.1428571428571
4,D,Conf,7,139.071428571429
4,D,Conf,8,236.642857142857
4,D,Conf,9,244.785714285714
4,D,Conf,10,266.357142857143
4,D,Conf,11,257.071428571429
4,D,Conf,12,263.571428571429
4,D,Conf,13,242.857142857143
4,D,Conf,14,257.214285714286
4,D,Conf,15,205.357142857143
4,D,Conf,16,225.857142857143
5,D,Conf,1,0.571428571428571
5,D,Conf,2,1.07142857142857
5,D,Conf,3,3.14285714285714
5,D,Conf,4,17.9285714285714
5,D,Conf,5,54.8571428571429
5,D,Conf,6,109.428571428571
5,D,Conf,7,206.428571428571
5,D,Conf,8,253.785714285714
5,D,Conf,9,275.785714285714
5,D,Conf,10,282
5,D,Conf,11,292.357142857143
5,D,Conf,12,322.428571428571
5,D,Conf,13,317.642857142857
5,D,Conf,14,301.857142857143
5,D,Conf,15,278.571428571429
5,D,Conf,16,302
6,D,Conf,1,0.642857142857143
6,D,Conf,2,3.92857142857143
6,D,Conf,3,12.7142857142857
6,D,Conf,4,33.7857142857143
6,D,Conf,5,70.9285714285714
6,D,Conf,6,128.214285714286
6,D,Conf,7,211.928571428571
6,D,Conf,8,258.285714285714
6,D,Conf,9,355
6,D,Conf,10,304.928571428571
6,D,Conf,11,317.071428571429
6,D,Conf,12,298.214285714286
6,D,Conf,13,316.285714285714
6,D,Conf,14,323.142857142857
6,D,Conf,15,310.285714285714
6,D,Conf,16,281.642857142857
7,D,Conf,1,2.92857142857143
7,D,Conf,2,8
7,D,Conf,3,23.7857142857143
7,D,Conf,4,45.6428571428571
7,D,Conf,5,96.2857142857143
7,D,Conf,6,181.285714285714
7,D,Conf,7,223.785714285714
7,D,Conf,8,240.857142857143
7,D,Conf,9,346.928571428571
7,D,Conf,10,278.928571428571
7,D,Conf,11,374.071428571429
7,D,Conf,12,360.857142857143
7,D,Conf,13,349.928571428571
7,D,Conf,14,309.785714285714
7,D,Conf,15,354.714285714286
7,D,Conf,16,339.214285714286
8,D,Conf,1,4.85714285714286
8,D,Conf,2,9.78571428571429
8,D,Conf,3,32.0714285714286
8,D,Conf,4,56.2142857142857
8,D,Conf,5,107.285714285714
8,D,Conf,6,175.571428571429
8,D,Conf,7,192.571428571429
8,D,Conf,8,251.142857142857
8,D,Conf,9,238.214285714286
8,D,Conf,10,273.857142857143
8,D,Conf,11,290.785714285714
8,D,Conf,12,253.071428571429
8,D,Conf,13,266.928571428571
8,D,Conf,14,293.642857142857
8,D,Conf,15,250.142857142857
8,D,Conf,16,261.928571428571
